id,event_type,event_cause,start_datetime,corridor_name,zone_name,latitude,longitude,priority,requires_road_closure,severity_score,cate,causal_delta,corridor_closure_rate,hour,time_of_day_factor,norm_causal_delta,norm_severity,norm_closure_rate,evitas_score,evitas_band
FKID007226,unplanned,vehicle_breakdown,2023-12-26 09:26:50.121+00,Mysore Road,Central Zone 2,12.963228,77.5802106,High,True,3,0.3455106423200231,1.2027966579230922,0.11036339165545088,9,1.0,0.7935016705258785,0.9999999996666666,0.9121037901645934,91.0,RED
FKID002075,unplanned,accident,2024-02-27 10:48:41.993+00,Mysore Road,Unknown,12.9556017,77.5456522,High,True,3,1.2722099111824907,1.2474189153343178,0.11036339165545088,10,0.6,0.8141418097723997,0.9999999996666666,0.9121037901645934,85.7,RED
FKID007650,unplanned,construction,2024-01-10 11:27:01.52+00,Mysore Road,Central Zone 2,12.9635623,77.5767354,High,True,3,0.9481396887439937,1.4520018439135671,0.11036339165545088,11,0.3,0.9087721664220508,0.9999999996666666,0.9121037901645934,84.5,RED
FKID002008,planned,vip_movement,2024-03-17 22:05:46+00,Mysore Road,Unknown,12.90407078,77.47050641,High,True,3,2.250320252404375,1.4218464502043369,0.11036339165545088,12,0.3,0.8948237119667726,0.9999999996666666,0.9121037901645934,84.1,RED
FKID002015,planned,vip_movement,2024-03-17 22:05:46+00,Mysore Road,Unknown,12.90123929,77.46726094,High,True,3,2.250320252404375,1.4218464502043366,0.11036339165545088,12,0.3,0.8948237119667725,0.9999999996666666,0.9121037901645934,84.1,RED
FKID002057,planned,vip_movement,2024-03-17 22:05:46+00,Mysore Road,Unknown,12.90123143,77.46735197,High,True,3,2.250320252404375,1.4218464502043366,0.11036339165545088,12,0.3,0.8948237119667725,0.9999999996666666,0.9121037901645934,84.1,RED
FKID001970,planned,vip_movement,2024-03-17 22:05:46+00,Mysore Road,Unknown,12.90516945,77.4710541,High,True,3,2.250320252404375,1.4218464502043369,0.11036339165545088,12,0.3,0.8948237119667726,0.9999999996666666,0.9121037901645934,84.1,RED
FKID000820,unplanned,water_logging,2024-03-11 19:23:58.863+00,Varthur Road,Unknown,12.9591687,77.7465274,High,True,3,-0.9255685866998338,0.660946872157887,0.11688311688311688,19,1.0,0.5428676668307175,0.9999999996666666,0.9659863865743801,83.3,RED
FKID006309,unplanned,vehicle_breakdown,2023-11-29 01:33:55.616+00,Mysore Road,Central Zone 2,12.9648247,77.5860978,High,True,3,0.8931151082955513,1.3561717246132425,0.11036339165545088,1,0.3,0.8644456997410566,0.9999999996666666,0.9121037901645934,83.0,RED
FKID007546,unplanned,vehicle_breakdown,2024-01-06 19:25:46.577+00,Non-corridor,East Zone 2,13.0083753,77.6925957,Low,True,2,0.4043743208889548,1.1685003226281194,0.12099871959026888,19,1.0,0.777637812953412,0.6666666664444444,0.9999999917354498,82.2,RED
FKID005111,planned,construction,2024-01-15 20:09:49.065+00,Non-corridor,East Zone 2,13.0486475,77.6457655,Low,True,2,0.22938140040111593,1.1665366980882657,0.12099871959026888,20,1.0,0.7767295334023135,0.6666666664444444,0.9999999917354498,82.2,RED
FKID004516,unplanned,vehicle_breakdown,2024-01-08 20:18:29.473+00,Non-corridor,South Zone 2,12.9137134,77.6775778,Low,True,2,0.31531322072134865,1.1574217558464601,0.12099871959026888,20,1.0,0.7725133935651672,0.6666666664444444,0.9999999917354498,82.0,RED
FKID004496,unplanned,vehicle_breakdown,2024-01-08 09:14:46.641+00,Non-corridor,East Zone 2,13.0197796,77.7095576,Low,True,2,0.3722502690970124,1.1462681436780577,0.12099871959026888,9,1.0,0.767354261741424,0.6666666664444444,0.9999999917354498,81.9,RED
FKID005902,unplanned,vehicle_breakdown,2023-11-14 20:55:02.629+00,Mysore Road,Central Zone 2,12.9672736,77.5873098,High,True,3,0.18801114115864181,0.6220258906347287,0.11036339165545088,20,1.0,0.5248646673220648,0.9999999996666666,0.9121037901645934,81.6,RED
FKID007038,unplanned,vehicle_breakdown,2023-12-19 19:23:39.359+00,Mysore Road,West Zone 1,12.9377126,77.5210857,High,True,3,0.9499184469778948,0.6069954402400635,0.11036339165545088,19,1.0,0.5179122940652655,0.9999999996666666,0.9121037901645934,81.4,RED
FKID007681,planned,construction,2024-01-10 18:05:46+00,Mysore Road,West Zone 1,12.93639036,77.5124615,High,True,3,-0.21706074941089176,1.2512270235223413,0.11036339165545088,12,0.3,0.8159032599505534,0.9999999996666666,0.9121037901645934,81.3,RED
FKID007646,planned,construction,2024-01-11 06:05:46+00,Mysore Road,West Zone 1,12.93630406,77.5124571,High,True,3,-0.21706074941089176,1.2512270235223413,0.11036339165545088,12,0.3,0.8159032599505534,0.9999999996666666,0.9121037901645934,81.3,RED
FKID007659,unplanned,vehicle_breakdown,2024-01-10 21:04:46.133+00,Mysore Road,West Zone 1,12.9364683,77.517665,High,True,3,1.033268610578109,0.9572428658497665,0.11036339165545088,21,0.6,0.6799201362212123,0.9999999996666666,0.9121037901645934,81.0,RED
FKID004653,planned,construction,2024-01-10 19:40:46.98+00,Non-corridor,East Zone 2,13.0493257,77.645601,Low,True,2,0.18835073183786893,1.0786350974751215,0.12099871959026888,19,1.0,0.7360704233100713,0.6666666664444444,0.9999999917354498,80.8,RED
FKID007870,unplanned,vehicle_breakdown,2024-01-17 18:17:49.194+00,Non-corridor,Central Zone 2,12.9845467,77.5747717,Low,True,2,0.8881954955559233,1.073526411176152,0.12099871959026888,18,1.0,0.7337073874016504,0.6666666664444444,0.9999999917354498,80.7,RED
FKID006969,unplanned,vehicle_breakdown,2023-12-17 07:30:48.632+00,Mysore Road,Central Zone 2,12.9679011,77.5873307,High,True,3,0.13542261753440016,0.56816030830919,0.11036339165545088,7,1.0,0.4999490045050066,0.9999999996666666,0.9121037901645934,80.7,RED
FKID006314,planned,procession,2024-01-07 18:05:46+00,Mysore Road,Central Zone 2,12.96781849,77.58867461,High,True,3,0.9917323689992333,1.2139936234674766,0.11036339165545088,12,0.3,0.7986808555645192,0.9999999996666666,0.9121037901645934,80.7,RED
FKID005652,planned,construction,2024-01-05 19:23:16.675+00,Non-corridor,East Zone 2,13.052805,77.6460686,Low,True,2,0.2672611560041061,1.0514639249932303,0.12099871959026888,19,1.0,0.7235023280129383,0.6666666664444444,0.9999999917354498,80.3,RED
FKID004996,planned,construction,2023-12-14 20:12:07.22+00,Non-corridor,Central Zone 1,12.9895377,77.6638443,Low,True,2,-0.16174517324212967,1.0213401910512128,0.12099871959026888,20,1.0,0.7095685178639255,0.6666666664444444,0.9999999917354498,79.8,ORANGE
FKID000974,unplanned,vehicle_breakdown,2024-02-11 20:25:00.931+00,ORR North 1,Unknown,13.0154496,77.6619706,High,True,3,0.3779717136169409,0.812847030098395,0.08,20,1.0,0.6131294732330068,0.9999999996666666,0.661164015699798,79.7,ORANGE
FKID006118,planned,construction,2023-11-21 08:23:00.469+00,ORR East 1,South Zone 2,12.9178592,77.6231754,High,True,3,0.3105523965785392,0.8651891005986909,0.07377049180327869,8,1.0,0.6373404317602991,0.9999999996666666,0.6096799325100596,79.5,ORANGE
FKID004707,planned,public_event,2023-12-10 04:52:46+00,Non-corridor,West Zone 1,12.9899462,77.4871512,Low,True,2,1.53328280437767,1.6215847623377706,0.12099871959026888,12,0.3,0.9872131788936984,0.6666666664444444,0.9999999917354498,79.1,ORANGE
FKID004771,planned,public_event,2023-12-09 12:05:46+00,Non-corridor,West Zone 1,12.99037089,77.4873556,Low,True,2,1.53328280437767,1.6215847623377706,0.12099871959026888,12,0.3,0.9872131788936984,0.6666666664444444,0.9999999917354498,79.1,ORANGE
FKID004122,planned,construction,2024-02-13 12:05:46+00,Mysore Road,Unknown,12.96396195,77.56960303,High,True,3,-0.5165983721430641,1.108290995501728,0.11036339165545088,12,0.3,0.7497878347603447,0.9999999996666666,0.9121037901645934,79.0,ORANGE
FKID003704,planned,public_event,2024-04-04 20:05:46+00,Mysore Road,Unknown,12.96417661,77.56987194,High,True,3,-0.5165983721430641,1.1082909955017277,0.11036339165545088,12,0.3,0.7497878347603446,0.9999999996666666,0.9121037901645934,79.0,ORANGE
FKID001676,planned,vip_movement,2024-03-17 22:05:46+00,Non-corridor,Unknown,12.87830777,77.49542969,Low,True,2,1.7408916611431167,1.616446939087628,0.12099871959026888,12,0.3,0.9848366656140211,0.6666666664444444,0.9999999917354498,79.0,ORANGE
FKID001641,planned,vip_movement,2024-03-17 22:05:46+00,Non-corridor,Unknown,12.98920996,77.47177025,Low,True,2,1.1624182121166005,1.6065164364979991,0.12099871959026888,12,0.3,0.9802432862529331,0.6666666664444444,0.9999999917354498,78.8,ORANGE
